Highlighting;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Yes;1;6;6;true;3910;
No;1;3;3;true;5474;
No;1;3;3;true;7097;
Yes;1;7;7;true;3171;
No;1;7;7;true;7393;
No;1;3;3;true;5269;
No;1;5;5;true;13077;
Yes;1;3;3;true;737;
No;1;3;3;true;6240;
No;1;4;4;true;6069;
Yes;1;6;6;true;1897;
No;1;7;7;true;6349;
Yes;1;7;7;true;3273;
Yes;1;4;4;true;1897;
Yes;1;6;6;true;2532;
No;1;4;3;false;4634;
Yes;1;5;5;true;2081;
Yes;1;3;3;true;919;
No;1;7;6;false;10548;
Yes;1;4;4;true;1216;
Yes;1;6;6;true;3362;
No;1;5;3;false;4265;
No;1;5;5;true;5032;
No;1;7;6;false;8225;
Yes;1;7;6;false;2742;
Yes;1;7;7;true;2569;
Yes;1;5;5;true;1558;
No;1;5;5;true;4087;
No;1;6;6;true;6223;
Yes;1;5;5;true;1634;
No;1;4;4;true;4948;
No;1;4;4;true;7423;
Yes;1;5;5;true;2375;
No;1;4;2;false;8074;
Yes;1;4;4;true;1924;
Yes;1;9;9;true;3978;
No;1;5;5;true;4701;
No;1;5;5;true;3797;
Yes;1;6;6;true;2787;
Yes;1;6;6;true;2457;
